method,dataset,config,relation,n,no_ctx,compressed,fallback_full,best,cost_comp,cost_full
gist,hotpot_qa,s1500_lr0.0001_K128,cross_task_cross_domain,96,0.26,0.229,0.146,0.292,216,1112
gist,hotpot_qa,s1500_lr0.0001_K64,overall,384,0.171,0.203,0.232,0.34,112,766
gist,hotpot_qa,s1500_lr0.0001_K64,in_task,96,0.118,0.18,0.198,0.33,102,729
gist,hotpot_qa,s1500_lr0.0001_K64,cross_task_in_domain,192,0.153,0.18,0.292,0.365,97,612
gist,hotpot_qa,s1500_lr0.0001_K64,cross_task_cross_domain,96,0.26,0.271,0.146,0.302,152,1112
gist,hotpot_qa,s1500_lr0.0003_K128,overall,384,0.173,0.246,0.231,0.36,176,766
gist,hotpot_qa,s1500_lr0.0003_K128,in_task,96,0.116,0.26,0.198,0.368,166,729
gist,hotpot_qa,s1500_lr0.0003_K128,cross_task_in_domain,192,0.152,0.237,0.29,0.401,161,612
gist,hotpot_qa,s1500_lr0.0003_K128,cross_task_cross_domain,96,0.271,0.25,0.146,0.271,216,1112
gist,hotpot_qa,s1500_lr0.0003_K64,overall,384,0.171,0.292,0.232,0.408,112,766
gist,hotpot_qa,s1500_lr0.0003_K64,in_task,96,0.118,0.228,0.198,0.342,102,729
gist,hotpot_qa,s1500_lr0.0003_K64,cross_task_in_domain,192,0.153,0.366,0.292,0.519,97,612
gist,hotpot_qa,s1500_lr0.0003_K64,cross_task_cross_domain,96,0.26,0.208,0.146,0.25,152,1112
gist,hotpot_qa,s600_lr0.0001_K128,overall,384,0.171,0.164,0.232,0.306,176,766
